Class,Subject,Chapter,File_Data,Board
Class 10th,Science,Mock Paper,"1
GUIDELINES FOR QUESTIONS
IN
SCIENCE
General instructions
1. Objective/task of the question school be well difined.
2. Value points should be stated clearly in the marking scheme.
3. If the expected answer is based on a diagram given in NCERT text book, its reference be given with fig no.
and page no.
4. In numerical based questions emphasis should be given on scientific concepts rather than computational skills.
5. Numerical problem should have all possible information required for the solution. For example, value of g,
Avagrado number, atomic masses etc. should be mentioned.
6. The data given in the numerical problems should be practicable.
7. No question should be lifted directly from any help book.
8. Language of the questions should be simple and unnecessary detail should be avoided.
9. Multicoulured diagram for printing in question paper should be avoided.
10. Syllabus prescribed by CBSE should be followed strictly. However, for depth of the content, NCERT book
may be considered as reference.
GUIEDELINES (SCIENCE PAPER)
VSA
1. Questions should be precise and pin pointed.
2. Action verbs like define, explain, describe and discuss should be avoided.
3. The anwer should not be of more than 2 value points.
4. The answer should be of one word or one sentence.
5. In diagram based questions instead of asking “to draw the diagram”, “to label” can be asked.
2
MCQ
1. The questions should be strictly based on testing the skills required for doing practicals and these should not be
theory based.
2. The questions should be such that it can be answered by only those students who have actually performed the
practicals in schools.
3. All the four options should be relevent.
4. Options like ‘all the above’ and ‘none o the above’ should be avoided.
5. The stem of question should not be too long.
6. As far as possible the language of the stem should be such that on adding the option it makes the sentence
complete.
7. The objective to be tested should be clear while framing the question.
8. Irrelevant hypothetical data/diagram should not given in the question.
SA-1 (2MARKS)
1. Question should not be of more than 4 value points.
2. Questions asking comparision, differents definitions, simple diagrams with two labels can be asked.
3. Question should be from different units.
4. Question should not be divided into parts.
SA-II (3MARKS)
1. Complete diagram with 4 to 6 labels can be asked based questions.
2. Numerical based questions can be asked.
3. Explanations, reasonings, prediction, interpretation type question can be asked.
4. Maximum value points should not be more than 6 and not less than 3.
5. If the question is divided into parts, the parts should be inter related and not unrelated.
3
FOR LA (5MARKS)
1. The question should not be divided into parts that are not related or are from different units/chapters of the
same unit.
2. There should be minimum 5 value points and maximum 10 value points.
3. Diagram based descriptive question can be asked.
4. The answer of the question should also reflect the descriptive skill of the child.
5. The internal choice question should be from the same unit and be of same difficulty level testing the same
objective.",CBSE
Class 10th,Sst,Mock Paper,"1
GUIDELINES FOR QUESTIONS
IN
SCIENCE
General instructions
1. Objective/task of the question school be well difined.
2. Value points should be stated clearly in the marking scheme.
3. If the expected answer is based on a diagram given in NCERT text book, its reference be given with fig no.
and page no.
4. In numerical based questions emphasis should be given on scientific concepts rather than computational skills.
5. Numerical problem should have all possible information required for the solution. For example, value of g,
Avagrado number, atomic masses etc. should be mentioned.
6. The data given in the numerical problems should be practicable.
7. No question should be lifted directly from any help book.
8. Language of the questions should be simple and unnecessary detail should be avoided.
9. Multicoulured diagram for printing in question paper should be avoided.
10. Syllabus prescribed by CBSE should be followed strictly. However, for depth of the content, NCERT book
may be considered as reference.
GUIEDELINES (SCIENCE PAPER)
VSA
1. Questions should be precise and pin pointed.
2. Action verbs like define, explain, describe and discuss should be avoided.
3. The anwer should not be of more than 2 value points.
4. The answer should be of one word or one sentence.
5. In diagram based questions instead of asking “to draw the diagram”, “to label” can be asked.
2
MCQ
1. The questions should be strictly based on testing the skills required for doing practicals and these should not be
theory based.
2. The questions should be such that it can be answered by only those students who have actually performed the
practicals in schools.
3. All the four options should be relevent.
4. Options like ‘all the above’ and ‘none o the above’ should be avoided.
5. The stem of question should not be too long.
6. As far as possible the language of the stem should be such that on adding the option it makes the sentence
complete.
7. The objective to be tested should be clear while framing the question.
8. Irrelevant hypothetical data/diagram should not given in the question.
SA-1 (2MARKS)
1. Question should not be of more than 4 value points.
2. Questions asking comparision, differents definitions, simple diagrams with two labels can be asked.
3. Question should be from different units.
4. Question should not be divided into parts.
SA-II(3MARKS)
1. Complete diagram with 4 to 6 labels can be asked based questions.
2. Numerical based questions can be asked.
3. Explanations, reasonings, prediction, interpretation type question can be asked.
4. Maximum value points should not be more than 6 and not less than 3.
5. If the question is divided into parts, the parts should be inter related and not unrelated.
3
FOR LA (5MARKS)
1. The question should not be divided into parts that are not related or are from different units/chapters of the
same unit.
2. There should be minimum 5 value points and maximum 10 value points.
3. Diagram based descriptive question can be asked.
4. The answer of the question should also reflect the descriptive skill of the child.
5. The internal choice question should be from the same unit and be of same difficulty level testing the same
objective.



The question paper comprises of two sections, A and B, You are to attempt both the sections.
All questions are compulsory.

There is no overall choice. However internal choice has been provided in all the five
questions of five marks category. Only one option in such questions is to be attempted.

All questions of section A and all questions of section B are to be attempted separately.

Question numbers 1 to 3 in section A are one mark questions. These are to be answered in
one word or one sentence.

Question numbers 4 to 7 are two mark questions, to be answered in about 30 words each.

Question numbers 8 to 19 are three mark questions, to be answered in about 50 words
each.

Question numbers 20 to 24 are five mark questions, to be answered in about 70 words
each.

Question number 25 to 42 in section B are multiple choice questions based on practical
skills. Each question is a one mark question. You are to choose one most appropriate
response out of the four provided to you.",CBSE
Class 10th,Maths,Mock Paper,"Guidelines for the preparation of
MATHEMATICS Question Papers for 9th and 10th
Classes
 In Mathematics 80 marks were allotted for Summative Assessment Question paper.
 In Summative Assessment Question paper there will be Two parts, i.e. Part-A; and Part-B.
 Part-A and Part-B contains different types of questions as shown below:
Part-A
Types of
Questions
Number of
questions
Questions
to be
answered
Marks for
each
question
Total
Marks
Allotted
Time
Very Short Answer
Question 6 6 02 12 TWO
HOURS
THIRTY
MINUTES
2 hr. 30
Min.
Short Answer
Question 6 6 04 24
Essay type
Questions 6 4 06 24
Part-B Multiple Choice
Questions [MCQ] 20 20 01 20 30
Minutes
TOTAL 18+20MCQ 16+20MCQ - 80 Marks 3 hours
Important Note:
 Prepare question paper for 80 marks.
 The total marks allotted for Part-A is 60.
 The allotted time for Part-A is TWO HOURS THIRTY MINUTES
 The total marks allotted for Part-B is 20.
 The allotted time for Part-B is Thirty Minutes
 Question paper should be prepared based on the Academic Standards
 The Academic Standards weightage is shown in the following table:
S.
No. Academic Standards. Percen
tage Marks VSAQ SAQ Essay MCQ TOTAL
Marks
1 Problem Solving 40% 37 37
2 Reasoning and proof 20% 18 18
3 Communication 10% 09 09
4 Connection 15% 14 14
5 Visualization and
representation 15% 14 14
TOTAL 100% 80 M
(+12M
choice)
6Q
(12
Marks)
6Q
(24
Marks)
6Q
(24 Marks
+12M
choice)
20 Q
(20
Marks)
80 M
(+12M
choice)
Important Note:
 Question should be prepared as per the weightage of Academic Standards.
 There should be no deviation in Academic Standards, Problem Solving,
Reasoning and Proof.
 There may be small deviation means upto 5% in Academic Standards,
Communication, Connections and Visualization and Representation.PART- A:
 The Part-A question Paper contains THREE sections. The First section includes SIX very short
answer type questions, answer ALL of them. Each question carries 2 marks and the total
marks allotted to this section are 12. The Solutions for these problems should be in general to
3-4 Steps.
 The Second section includes SIX short answer type questions, answer ALL of them. Each
question carries 4 marks and the total marks allotted to this section are 24. The Solutions for
these problems should be in general to 5-6 Steps.
 The Third section includes SIX Essay type questions, Answer any 4 out of 6 questions. Each
question carries 6 marks and the total marks allotted to this section are 24. The Solutions for
these problems should be in general to 8-10 Steps.
PART- B:
 The Part-B Paper contains TWENTY Multiple Choice Questions, each question carries 1 mark
and the total marks allotted to this part are 20.
Marks will not be awarded for OVERWRITING, CORRECTED and ERASED answers.
 In MCQ questions, options such as All of the above, none of the above and both A and B
should not be given.
General Instructions:
 Care should be taken while preparing question paper in such a way that questions must be
given from ALL allotted Units/ Lessons, but there is NO need to give unit/lesson-wise
weightage in the question paper.
 All questions in the question paper should be thought provoking, open ended, analytical. Rote
memory questions should be avoided in the question paper. The questions should test the
understanding level of the student.
 All questions should be without any ambiguity and they should be clear with objectivity.
 Sub-questions should not be given in the question paper. If it is needed can be given only for
ONE QUESTION.
 The length of the Solution must be kept in mind while preparing different types of problems.
 While preparing question paper, avoid problems from the text book as it is, Can take those
problems by changing their nature of questioning.
 The entire question paper should be prepared in such a way that 50% questions easy, 30%
questions are average and the remaining 20% questions are of higher order thinking.Mathematics – X E/M
Blue Print for this Model Paper
Sl.
No.
Academic
Standards.
Percen
tage Marks VSAQ
(2)
SAQ
(4)
Essay
(6)
MCQ
(1)
TOTAL
Marks
1 Problem Solving 40% 37 2(4M) 2(8M) 2(12M) 13(13M) 37
2 Reasoning and proof 20% 18 2(4M) 1(4M) 1(6M) 4(4M) 18
3 Communication 10% 09 1(2M) 1(4M) - 3(3M) 09
4 Connection 15% 14 - 2(8M) 1(6M) - 14
5 Visualization and
representation 15% 14 1(2M) - 2(12M) - 14
TOTAL 100%
80 M
(+12M
choice)
6Q
(12
Marks)
6Q
(24
Marks)
6Q
(24 Marks
+12M
choice)
20 Q
(20
Marks)
80 M
(+12M
choice)",CBSE
Class 10th,English-First Flight,Mock Paper,"1
GUIDELINES FOR SETTING QUESTIONS
IN
ENGLISH
General Instructions:
1. It should be borne in mind that syllabus is the main guiding factor which should not only be read but strictly
adhered to before trying our hand at setting the questions.
2. If the question setter finds some variation between the syllabus and the sample paper, the syllabus is to be
religiously followed.
3. Directional language of the questions should be standardised so that different question setters do not use
different sets of language for the same purpose. For example “ Read the passage given below and answer the
questions that follow,” is not only preferable but far better than “Read the following passage and answer the
questions that follow,” and “Read the following passage and answer the questions given below. “Standard
language used in previous years’ Board question papers may be followed.
4. Word limit of answers to the questions wherever needed should be the same as given in the syllabus and it
should be a part of the question itself and not mentioned within the brackets at the end.
5. Before framing a question, the question setter should be clear in his mind as to what he expects as an answer.
The directions should therefore be clearly worded. The paper setter should also be very sure whether the
answer can be given within the specified word limit.
SECTION A (READING)
6. Students of several streams have to attempt language papers. Topics of general interest should be selected
instead of very specialised ones which cater to the needs of only specific groups requiring a techinical vocabu-
lary. However, the passages may be literary or biographical, a travelogue or a piece of fiction. There must not
be any religious, political, social and gender bias.
7. The questions, specifically on the passage for comprehension, whether they are direct, inferential or
extrapolative, should have answers within the text.
8. While choosing a passage or framing questions, interest of the average students [nearly 70%] should be kept
in mind. However 15% weightage has to be given to the questions for the bright and the remaining 15% for
below average students. Passages should not be copied from guide books.
2
SECTION B (WRITING)
9. The aim of this section is to test the writing skills of the candidates. Wherever required, according to the
syllabus, verbal input in the questions must be provided. But it should be neither too short nor too long.
10. Situations chosen for writing task should be within the experience of an average candidate. It should not be, for
example, on topics such as “Visit to France,” “Skiing in switzerland etc,” as it is beyond the experience of most
of the candidates.
11. Visuals given as input often do not throw much light on the questions asked and are often unclear. A visual
should be so clear that it can be easily printed.
SECTION C (GRAMMAR)
12. The exercise in jumbled words to be arranged in sentences should not consist of isolated sentences.
They should be asked in a context. Number of words in each sentence should not ordinarily exceed 15.
13. Maximum number of items of grammar as prescribed in the syllabus should be tested in context and not in
isolation. For example in the question on change of narration, there should be a running paragraph instead of
isolated sentences.
SECTION D (TEXT BOOK/LITERATURE)
14. Before framing a question, the question setter should be clear in his mind as to what he expects as an answer.
The directions should therefore be clearly worded. The paper setter should also be very sure whether the
answer can be given within the specified word limit.",CBSE
Class 9th,Science,Mock Paper,"1
GUIDELINES FOR QUESTIONS
IN
SCIENCE
General instructions
1. Objective/task of the question school be well difined.
2. Value points should be stated clearly in the marking scheme.
3. If the expected answer is based on a diagram given in NCERT text book, its reference be given with fig no.
and page no.
4. In numerical based questions emphasis should be given on scientific concepts rather than computational skills.
5. Numerical problem should have all possible information required for the solution. For example, value of g,
Avagrado number, atomic masses etc. should be mentioned.
6. The data given in the numerical problems should be practicable.
7. No question should be lifted directly from any help book.
8. Language of the questions should be simple and unnecessary detail should be avoided.
9. Multicoulured diagram for printing in question paper should be avoided.
10. Syllabus prescribed by CBSE should be followed strictly. However, for depth of the content, NCERT book
may be considered as reference.
GUIEDELINES (SCIENCE PAPER)
VSA
1. Questions should be precise and pin pointed.
2. Action verbs like define, explain, describe and discuss should be avoided.
3. The anwer should not be of more than 2 value points.
4. The answer should be of one word or one sentence.
5. In diagram based questions instead of asking “to draw the diagram”, “to label” can be asked.
2
MCQ
1. The questions should be strictly based on testing the skills required for doing practicals and these should not be
theory based.
2. The questions should be such that it can be answered by only those students who have actually performed the
practicals in schools.
3. All the four options should be relevent.
4. Options like ‘all the above’ and ‘none o the above’ should be avoided.
5. The stem of question should not be too long.
6. As far as possible the language of the stem should be such that on adding the option it makes the sentence
complete.
7. The objective to be tested should be clear while framing the question.
8. Irrelevant hypothetical data/diagram should not given in the question.
SA-1 (2MARKS)
1. Question should not be of more than 4 value points.
2. Questions asking comparision, differents definitions, simple diagrams with two labels can be asked.
3. Question should be from different units.
4. Question should not be divided into parts.
SA-II(3MARKS)
1. Complete diagram with 4 to 6 labels can be asked based questions.
2. Numerical based questions can be asked.
3. Explanations, reasonings, prediction, interpretation type question can be asked.
4. Maximum value points should not be more than 6 and not less than 3.
5. If the question is divided into parts, the parts should be inter related and not unrelated.
3
FOR LA (5MARKS)
1. The question should not be divided into parts that are not related or are from different units/chapters of the
same unit.
2. There should be minimum 5 value points and maximum 10 value points.
3. Diagram based descriptive question can be asked.
4. The answer of the question should also reflect the descriptive skill of the child.
5. The internal choice question should be from the same unit and be of same difficulty level testing the same
objective.



The question paper comprises of two sections, A and B, You are to attempt both the sections.
All questions are compulsory.

There is no overall choice. However internal choice has been provided in all the five
questions of five marks category. Only one option in such questions is to be attempted.

All questions of section A and all questions of section B are to be attempted separately.

Question numbers 1 to 3 in section A are one mark questions. These are to be answered in
one word or one sentence.

Question numbers 4 to 7 are two mark questions, to be answered in about 30 words each.

Question numbers 8 to 19 are three mark questions, to be answered in about 50 words
each.

Question numbers 20 to 24 are five mark questions, to be answered in about 70 words
each.

Question number 25 to 42 in section B are multiple choice questions based on practical
skills. Each question is a one mark question. You are to choose one most appropriate
response out of the four provided to you.",CBSE
Class 9th,English-Words and Expressions,Mock Paper,"General Instructions:
1. It should be borne in mind that syllabus is the main guiding factor which should not only be read but strictly
adhered to before trying our hand at setting the questions.
2. If the question setter finds some variation between the syllabus and the sample paper, the syllabus is to be
religiously followed.
3. Directional language of the questions should be standardised so that different question setters do not use
different sets of language for the same purpose. For example “ Read the passage given below and answer the
questions that follow,” is not only preferable but far better than “Read the following passage and answer the
questions that follow,” and “Read the following passage and answer the questions given below. “Standard
language used in previous years’ Board question papers may be followed.
4. Word limit of answers to the questions wherever needed should be the same as given in the syllabus and it
should be a part of the question itself and not mentioned within the brackets at the end.
5. Before framing a question, the question setter should be clear in his mind as to what he expects as an answer.
The directions should therefore be clearly worded. The paper setter should also be very sure whether the
answer can be given within the specified word limit.
SECTION A (READING)
6. Students of several streams have to attempt language papers. Topics of general interest should be selected
instead of very specialised ones which cater to the needs of only specific groups requiring a techinical vocabulary. However, the passages may be literary or biographical, a travelogue or a piece of fiction. There must not
be any religious, political, social and gender bias.
7. The questions, specifically on the passage for comprehension, whether they are direct, inferential or
extrapolative, should have answers within the text.
8. While choosing a passage or framing questions, interest of the average students [nearly 70%] should be kept
in mind. However 15% weightage has to be given to the questions for the bright and the remaining 15% for
below average students. Passages should not be copied from guide books.
2
D\THREE\CBSE\SQPDASS\ENGLISHSECTION B (WRITING)
9. The aim of this section is to test the writing skills of the candidates. Wherever required, according to the
syllabus, verbal input in the questions must be provided. But it should be neither too short nor too long.
10. Situations chosen for writing task should be within the experience of an average candidate. It should not be, for
example, on topics such as “Visit to France,” “Skiing in switzerland etc,” as it is beyond the experience of most
of the candidates.
11. Visuals given as input often do not throw much light on the questions asked and are often unclear. A visual
should be so clear that it can be easily printed.
SECTION C (GRAMMAR)
12. The exercise in jumbled words to be arranged in sentences should not consist of isolated sentences.
They should be asked in a context. Number of words in each sentence should not ordinarily exceed 15.
13. Maximum number of items of grammar as prescribed in the syllabus should be tested in context and not in
isolation. For example in the question on change of narration, there should be a running paragraph instead of
isolated sentences.
SECTION D (TEXT BOOK/LITERATURE)
14. Before framing a question, the question setter should be clear in his mind as to what he expects as an answer.
The directions should therefore be clearly worded. The paper setter should also be very sure whether the
answer can be given within the specified word limit.",CBSE
Class 9th,Sst,Mock Paper,"1
GUIDELINES FOR QUESTIONS
IN
SCIENCE
General instructions
1. Objective/task of the question school be well difined.
2. Value points should be stated clearly in the marking scheme.
3. If the expected answer is based on a diagram given in NCERT text book, its reference be given with fig no.
and page no.
4. In numerical based questions emphasis should be given on scientific concepts rather than computational skills.
5. Numerical problem should have all possible information required for the solution. For example, value of g,
Avagrado number, atomic masses etc. should be mentioned.
6. The data given in the numerical problems should be practicable.
7. No question should be lifted directly from any help book.
8. Language of the questions should be simple and unnecessary detail should be avoided.
9. Multicoulured diagram for printing in question paper should be avoided.
10. Syllabus prescribed by CBSE should be followed strictly. However, for depth of the content, NCERT book
may be considered as reference.
GUIEDELINES (SCIENCE PAPER)
VSA
1. Questions should be precise and pin pointed.
2. Action verbs like define, explain, describe and discuss should be avoided.
3. The anwer should not be of more than 2 value points.
4. The answer should be of one word or one sentence.
5. In diagram based questions instead of asking “to draw the diagram”, “to label” can be asked.
2
MCQ
1. The questions should be strictly based on testing the skills required for doing practicals and these should not be
theory based.
2. The questions should be such that it can be answered by only those students who have actually performed the
practicals in schools.
3. All the four options should be relevent.
4. Options like ‘all the above’ and ‘none o the above’ should be avoided.
5. The stem of question should not be too long.
6. As far as possible the language of the stem should be such that on adding the option it makes the sentence
complete.
7. The objective to be tested should be clear while framing the question.
8. Irrelevant hypothetical data/diagram should not given in the question.
SA-1 (2MARKS)
1. Question should not be of more than 4 value points.
2. Questions asking comparision, differents definitions, simple diagrams with two labels can be asked.
3. Question should be from different units.
4. Question should not be divided into parts.
SA-II(3MARKS)
1. Complete diagram with 4 to 6 labels can be asked based questions.
2. Numerical based questions can be asked.
3. Explanations, reasonings, prediction, interpretation type question can be asked.
4. Maximum value points should not be more than 6 and not less than 3.
5. If the question is divided into parts, the parts should be inter related and not unrelated.
3
FOR LA (5MARKS)
1. The question should not be divided into parts that are not related or are from different units/chapters of the
same unit.
2. There should be minimum 5 value points and maximum 10 value points.
3. Diagram based descriptive question can be asked.
4. The answer of the question should also reflect the descriptive skill of the child.
5. The internal choice question should be from the same unit and be of same difficulty level testing the same
objective.



The question paper comprises of two sections, A and B, You are to attempt both the sections.
All questions are compulsory.

There is no overall choice. However internal choice has been provided in all the five
questions of five marks category. Only one option in such questions is to be attempted.

All questions of section A and all questions of section B are to be attempted separately.

Question numbers 1 to 3 in section A are one mark questions. These are to be answered in
one word or one sentence.

Question numbers 4 to 7 are two mark questions, to be answered in about 30 words each.

Question numbers 8 to 19 are three mark questions, to be answered in about 50 words
each.

Question numbers 20 to 24 are five mark questions, to be answered in about 70 words
each.

Question number 25 to 42 in section B are multiple choice questions based on practical
skills. Each question is a one mark question. You are to choose one most appropriate
response out of the four provided to you.",CBSE
Class 9th,Maths,Mock Paper,"GUIDELINES FOR QUESTIONS IN MATHEMATICS
 MCQ
  1. Alternate answers should be as (A), (B), (C) and (D) and not as 1, 2, 3, 4 or a, b, c, d.
  2. The alternatives should not be written at random. They must be the probable answers For Example:- The surface area of a solid hemisphere of diameter 14cm is (A) 147元 (B) 98元 (C) 392元 (D) 588π The correct answer is 3(7)² = 147π ί.ε. (Α) But taking corved surface area = 2π(7) = 98 i.e. (B) taking r= 14 instead of 7 and surface area = 2(14)² = 392 i.e. (C) and r=14 and surface area 2tr588 ie. (D)
 3. The stem of the question should not be interogative type. e.g. ""What does the Congruence rule SAS mean?"" instead of should be witten as, ""The Congruence rule SAS means"" (A) (B) (C) (D)
  4. The questions should be such that the answer may be in one word or one sentence. Questions of the type, ""show that"", ""verify that"" etc. should be avoided
   5. The questions should not have multiple answers. e.g. Ifx=36, the value of x is (A) 6 (B) -6 (C) +6 (D) 36 Options A, B and C can be said as correct. 
   6. Syllabus, Design and blue print must be striclty followed. 
   7. The questions should not involve long calculations.
   8. Proper units should be mentioned in the questions, wherever required. 1 FOR QUESTIONS OTHER THAN MCQ 
   9. The questions of different weightages should be so framed that an average student can solve the question in less than 2 minutes for every one mark. i.e a 3 marks question should not take more than 6 minutes.
    10. Questions should be framed to test different skills like computation, drawing, reasoning etc. 
   11. The questions framed should have value points as per the weightage of the question ie. a 2 marks questions must not have more than 2 important value points. 
   12. The language of the question should be such that it conveys specific meaning. e.g. The surface area of a cylinder is - here, the language can mean curved surface area or total surface area, if cylinder is solid.
    13. The figures given must be properly labelled and according to dimensions. 
   14. Sub-parts in a questions should be avoided. 
   15. In questions on constructions in geometry, proper data must be given. For Example: Draw tangents to a circle from an external point. Here, readius of circle and the distance of external point from the centre of circle should be given.
    16. The same concept should not be tested again and again e.g. The following three questions should not be in the same paper. (i) Find the area of triangle with given three points 2 marks (ii) Show that the given three points are collinear 3 marks (iii) Find the area of quadrilateral with four given points 4 marks",CBSE
Class 9th,English-Moments,Mock Paper,"EXAMINATION SPECIFICATIONS
Division of Syllabus for Term II (October-March) Total Weightage Assigned
Summative Assessment II 30%
Section Marks
Reading 20
Writing 20
Grammar 15
Literature 35
Formative Assessment 20%
TOTAL 90 50%
Note:
1. The total weightage assigned to Summative Assessment (SA I&II) is 60%. The total weightage
assigned to Formative Assessment (FA1, 2, 3, &4) is 40%. Out of the 40% assigned to
Formative Assessment, 10% weightage is assigned to conversation skills (5% each in Term I&II)
and 10% weightage to the Reading Project (at least 1 Book is to be read in each term and the
Project will carry a weightage of 5% in each term).
2. The Summative Assessment I and Summative Assessment II is for ninety marks. The weighatge
assigned to Summative Assessment I is 30% and the weightage assigned to Summative
Assessment II is 30%.28
SECTION A: READING 20 Marks
30 periods
Que.1-4 This section will have four unseen passages of a total length of 800 words. The
arrangement within the reading section is as follows:
Q 1&2: Five Multiple Choice Questions on each passage carrying 5 marks for each question.
Q 3&4: Five Supply Type Questions carrying 5 marks on each passage.
Out of the 20 marks, 4 marks will be for vocabulary. The questions will test inference,
evaluation and analysis. The passages may be extracts from poetry/ factual/ literary/ dis-
cursive texts.
At least one passage will be an extract from a poem.
SECTION B: WRITING 20 Marks
40 periods
Q.5 Letter Writing: One out of two letters (formal/informal/email) in not more than
120-150 words based on verbal stimulus and context provided.
Types of letters:
l Informal - personal, such as to family and friends.
l Formal - letters to an editor; to the principal of a school.
l email 8 Marks
Q 6. Writing an article, speech or debate based on visual or verbal stimulus in not more than
120 words (one out of two). 8 Marks
Q7. Writing a short composition in the form of dialogue writing/story or report of minimum
80 words (one out of two). 4 Marks
SECTION C: GRAMMAR 15 Marks
45 periods
1. This section will assess grammar items in context for 15 marks.
2 This section will carry five questions of three marks each
2 Out of five questions two questions (question 8 and 9) carrying 6 marks will have MCQs of
three marks each .The text types for MCQs include:29
l Gap filling
l Sentence completion
l Dialogue completion
2 Questions 10, 11 and 12(carrying 3 marks each ie total 9 marks) will be based on
response supplied by students. (Supply Type Questions)
These test types which will not be tested as MCQs include___
4 Sentence reordering
4 Editing
4 Omission
4 Sentence transformation (including combining sentences)
The grammar syllabus will include the following areas in class IX:
1. Tenses
2. Modals (have to/had to, must, should, need, ought to and their negative forms)
3. Use of passive voice
4. Subject - verb concord
5. Reporting
(i) Commands and requests
(ii) Statements
(iii) Questions
6. Clauses:
(i) Noun clauses
(ii) Adverb clauses of condition and time
(iii) Relative clauses
7. Determiners, and
8. Prepositions
Note: No separate marks are allotted for any of the grammar items listed above.30
SECTION D: TEXT BOOKS 35 Marks
95 periods
Q13. a) and b) Two extracts for reference to context (based on prose or play). These
extracts would require effort on the part of the students to supply the responses.
Up to one mark in each extract will be for vocabulary. At least one question will be used for testing
local and global comprehension and one question will be on interpretation.
The extracts will carry 4 marks each. 8 Marks
Q14. Two out of three reference to context stanzas (based on poetry) followed by 3 MCQs to
test local and global comprehension of the set text .The extracts will carry 3 marks each.
6 Marks
Q15. Three out of four short answer type questions based on prose or play to test local and
global comprehension of theme and ideas (30-40 words each)-- 2 marks each. 6 Marks
Q16. One out of two long answer type questions will be extrapolative in nature and will be based on
prose or play. (Upto 80 words). 5 Marks
Moments: NCERT Supplementary Reader for Class IX 10 Marks
Q17. One out of two long questions from supplementary reader to interpret, evaluate and analyze
character, plot or situations occurring in the lessons to be answered in about 80 words.
4 Marks
Q18. Two out of three short answer type questions based on factual aspects,
interpretation and evaluation of a lesson. (40-50 words) 3x2=6 Marks
NOTE: Teachers are advised to:
i. encourage classroom interaction among peers, students and teachers through activities
such as role play, group work etc,
ii. reduce teacher-talking time and keep it to the minimum,
iii. take up questions for discussion to encourage pupils to participate and to marshal their
ideas and express and defend their views, and
iv. use the scale of assessment for conversation skills to test the students for continuous as-
sessment.
Besides measuring attainment, texts serve the dual purpose of diagnosing mistakes and areas of
non-learning. To make evaluation a true index of learners' attainment, each language skill is to be31
assessed through a judicious mixture of different types of questions. In addition to the summative
tests, formative assessment is essential to measure the level of attainment in the four language skills
and the learners' communicative competence. Formative assessment should be done through 'in
class' activities throughout the year.",CBSE
Class 12th,Chemistry,Mock Paper,"Based on the provided sample paper structure and marking scheme, here is a guideline for preparing a Chemistry paper:

Guideline for Preparing a Chemistry Paper (Theory)

1. Structure & Sections

Divide the Paper into Sections:

Section A: Objective Type Questions (1 Mark each)

Section B: Short Answer Questions (2 Marks each)

Section C: Long Answer Questions (3 Marks each)

Section D: Application-Based Questions (4 Marks each)

Section E: Higher Order Thinking Skills (HOTS) / Practical-based Questions (5 Marks each)

2. Question Distribution and Weightage

Total Marks: The paper should aim for a balance between conceptual, application-based, and higher-order thinking skills.

Distribution:

Section A: 1-mark questions, quick and to the point.

Section B: 2-mark questions requiring short explanations or calculations.

Section C: 3-mark questions for more in-depth answers, often with diagrams or balanced chemical equations.

Section D: 4-mark questions focusing on complex concepts or multi-part questions.

Section E: 5-mark questions testing comprehensive understanding, analytical skills, or experimental-based problems.


3. Question Formatting & Instructions

MCQs and Assertion-Reason Questions: Include choices labeled as (a), (b), (c), (d) for each question, and specify clear instructions for answering assertion-reason questions.

Calculation-Based Questions: Provide step-by-step guidance for calculation-based questions, ensuring each step is worth part marks.

Visual Representation: Ensure visually impaired learners have alternative descriptions for any diagrams or images.

4. Key Concepts for Each Section

Section A: Concepts should be fundamental and testing key facts or definitions.

Section B: Focus on simple application of concepts and short derivations.

Section C: Include questions that require concise explanations, diagrams, and chemical reactions.

Section D: Include a variety of real-life applications, such as solubility, reaction mechanisms, or interpreting reaction orders.

Section E: Questions should assess in-depth knowledge and critical thinking, often integrating concepts from different chapters.


5. Marking Scheme

Allocate marks based on steps in calculation-based questions.

Provide part-marks in multi-step processes.

Use specific criteria for diagram-based questions, awarding marks for accuracy and labeling.


6. Language and Clarity

Use simple, precise language. Avoid ambiguous terms and make the questions as clear as possible.

Define technical terms or symbols as necessary to avoid confusion.


7. Sample Answer Key

Prepare a detailed answer key with step-by-step solutions for calculation-based questions.

For multi-part questions, provide a clear breakdown of marks allocated per part.
",CBSE
